"","NAME","SIZE","MILK","CALORIES","TOTAL_FAT_g","SATURATED_FAT_g","TRANS_FAT_g","CHOLESTEROL_mg","SODIUM_mg","TOTAL_CARB_g","DIETARY_FIBER_g","SUGAR_g","PROTEIN_g","CALCIUM_mg","CALCIUM_pcdv","IRON_mg","IRON_pcdv"
"430","Original Hot Chocolate - Small","Small",NA,220,7,6,0,0,210,40,2,32,2,34,0.03,0,0
"431","Cappuccino with Skim Milk -Large","Large","Nonfat",90,0,0,0,5,115,13,0,12,8,300,0.23,0,0
"432","Cappuccino with Skim Milk -Medium","Medium","Nonfat",70,0,0,0,5,85,10,0,9,6,225,0.17,0,0
"433","Cappuccino with Skim Milk -Small","Small","Nonfat",45,0,0,0,0,55,7,0,6,4,150,0.12,0,0
"434","Cappuccino with Skim Milk and Sugar - Large","Large","Nonfat",230,0,0,0,5,115,48,0,47,8,301,0.23,0,0
"435","Cappuccino with Skim Milk and Sugar - Medium","Medium","Nonfat",170,0,0,0,5,85,36,0,35,6,225,0.17,0,0
"436","Cappuccino with Skim Milk and Sugar - Small","Small","Nonfat",110,0,0,0,0,55,24,0,23,4,150,0.12,0,0
"437","Cappuccino with Whole Milk -Large","Large","Whole",160,8,4.5,0,25,115,13,0,12,8,277,0.21,0,0
"438","Cappuccino with Whole Milk -Medium","Medium","Whole",120,6,3.5,0,20,85,10,0,9,6,208,0.16,0,0
"439","Cappuccino with Whole Milk -Small","Small","Whole",80,4,2.5,0,10,60,7,0,6,4,139,0.11,0,0
"440","Cappuccino with Whole Milk and Sugar - Large","Large","Whole",290,8,4.5,0,25,115,48,0,46,8,278,0.21,0,0
"441","Cappuccino with Whole Milk and Sugar - Medium","Medium","Whole",220,6,3.5,0,20,85,36,0,35,6,208,0.16,0,0
"442","Cappuccino with Whole Milk and Sugar - Small","Small","Whole",150,4,2.5,0,10,60,24,0,23,4,139,0.11,0,0
"443","Caramel Swirl Hot Cappuccino with Skim Milk - Large","Large","Nonfat",310,0,0,0,10,180,65,0,63,11,404,0.31,0,0
"444","Caramel Swirl Hot Cappuccino with Skim Milk - Medium","Medium","Nonfat",230,0,0,0,5,135,49,0,47,8,303,0.23,0,0
"445","Caramel Swirl Hot Cappuccino with Skim Milk - Small","Small","Nonfat",160,0,0,0,5,90,33,0,32,6,202,0.16,0,0
"446","Caramel Swirl Hot Cappuccino with Whole Milk - Large","Large","Whole",380,8,4.5,0,30,180,65,0,63,11,381,0.29,0,0
"447","Caramel Swirl Hot Cappuccino with Whole Milk - Medium","Medium","Whole",280,6,3.5,0,20,135,48,0,47,8,285,0.22,0,0
"448","Caramel Swirl Hot Cappuccino with Whole Milk - Small","Small","Whole",190,4,2.5,0,15,90,32,0,31,5,190,0.15,0,0
"449","French Vanilla Swirl Hot Cappuccino with Skim Milk -Large","Large","Nonfat",310,0,0,0,10,170,65,0,61,11,384,0.3,0,0
"450","French Vanilla Swirl Hot Cappuccino with Skim Milk -Medium","Medium","Nonfat",230,0,0,0,5,130,48,0,46,8,288,0.22,0,0
"451","French Vanilla Swirl Hot Cappuccino with Skim Milk -Small","Small","Nonfat",150,0,0,0,5,85,32,0,30,5,192,0.15,0,0
"452","French Vanilla Swirl Hot Cappuccino with Whole Milk -Large","Large","Whole",370,8,4.5,0,30,170,64,0,60,10,361,0.28,0,0
"453","French Vanilla Swirl Hot Cappuccino with Whole Milk -Medium","Medium","Whole",280,6,3.5,0,20,130,48,0,45,8,271,0.21,0,0
"454","French Vanilla Swirl Hot Cappuccino with Whole Milk -Small","Small","Whole",190,4,2.5,0,15,85,32,0,30,5,181,0.14,0,0
"455","Hazelnut Swirl Hot Cappuccino with Skim Milk - Large","Large","Nonfat",310,0,0,0,10,170,65,0,61,11,384,0.3,0,0
"456","Hazelnut Swirl Hot Cappuccino with Skim Milk - Medium","Medium","Nonfat",230,0,0,0,5,130,49,0,46,8,288,0.22,0,0
"457","Hazelnut Swirl Hot Cappuccino with Skim Milk - Small","Small","Nonfat",150,0,0,0,5,85,32,0,30,5,192,0.15,0,0
"458","Hazelnut Swirl Hot Cappuccino with Whole Milk - Large","Large","Whole",370,8,4.5,0,30,170,64,0,60,10,361,0.28,0,0
"459","Hazelnut Swirl Hot Cappuccino with Whole Milk - Medium","Medium","Whole",280,6,3.5,0,20,130,48,0,45,8,271,0.21,0,0
"460","Hazelnut Swirl Hot Cappuccino with Whole Milk - Small","Small","Whole",190,4,2.5,0,15,85,32,0,30,5,181,0.14,0,0
"461","Mocha Swirl Hot Cappuccino with Skim Milk - Large","Large","Nonfat",300,1,0.5,0,5,140,64,2,58,10,311,0.24,2,0.11
"462","Mocha Swirl Hot Cappuccino with Skim Milk - Medium","Medium","Nonfat",220,1,0.5,0,5,105,48,2,43,7,233,0.18,1,0.06
"463","Mocha Swirl Hot Cappuccino with Skim Milk - Small","Small","Nonfat",150,0.5,0,0,0,70,32,1,29,5,156,0.12,1,0.06
"464","Mocha Swirl Hot Cappuccino with Whole Milk - Large","Large","Whole",360,9,5,0,25,140,63,2,57,9,288,0.22,2,0.11
"465","Mocha Swirl Hot Cappuccino with Whole Milk - Medium","Medium","Whole",270,7,4,0,20,110,48,2,43,7,216,0.17,1,0.06
"466","Mocha Swirl Hot Cappuccino with Whole Milk - Small","Small","Whole",180,4.5,2.5,0,10,70,32,1,29,5,144,0.11,1,0.06
"467","Americano - Large","Large",NA,10,0,0,0,0,30,2,0,0,0,15,0.01,0,0
"468","Americano - Medium","Medium",NA,10,0,0,0,0,25,2,0,0,0,12,0.01,0,0
"469","Americano - Small","Small",NA,5,0,0,0,0,15,1,0,0,0,7,0.01,0,0
"470","Frozen Dunkaccino® - Large","Large",NA,930,22,15,0,40,350,177,3,159,10,294,0.23,3,0.17
"471","Frozen Dunkaccino® - Medium","Medium",NA,710,17,12,0,35,260,134,3,119,8,223,0.17,2,0.11
"472","Frozen Dunkaccino® - Small","Small",NA,510,13,9,0,25,180,94,2,83,5,155,0.12,1,0.06
"473","Caramel Swirl Frozen Coffee with Cream - Large","Large","Cream",1120,40,22,1.5,130,290,180,0,172,10,346,0.27,2,0.11
"474","Caramel Swirl Frozen Coffee with Cream - Medium","Medium","Cream",860,31,17,1,100,220,139,0,132,8,267,0.21,2,0.11
"475","Caramel Swirl Frozen Coffee with Cream - Small","Small","Cream",610,22,12,0.5,70,160,97,0,92,6,190,0.15,1,0.06
"476","Caramel Swirl Frozen Coffee with Skim Milk - Large","Large","Nonfat",830,5,3.5,0,25,240,184,0,176,11,405,0.31,2,0.11
"477","Caramel Swirl Frozen Coffee with Skim Milk - Medium","Medium","Nonfat",650,4.5,3,0,25,180,142,0,135,9,312,0.24,2,0.11
"478","Caramel Swirl Frozen Coffee with Skim Milk - Small","Small","Nonfat",470,4.5,3,0,20,130,99,0,94,6,220,0.17,1,0.06
"479","Caramel Swirl Frozen Coffee with Whole Milk - Large","Large","Whole",880,11,7,0,40,240,184,0,175,11,388,0.3,2,0.11
"480","Caramel Swirl Frozen Coffee with Whole Milk - Medium","Medium","Whole",680,9,6,0,35,180,141,0,134,8,299,0.23,2,0.11
"481","Caramel Swirl Frozen Coffee with Whole Milk - Small","Small","Whole",490,8,4.5,0,30,130,99,0,94,6,211,0.16,1,0.06
"482","French Vanilla Swirl Frozen Coffee with Cream - Large","Large","Cream",1110,40,22,1.5,130,280,180,0,169,10,326,0.25,2,0.11
"483","French Vanilla Swirl Frozen Coffee with Cream - Medium","Medium","Cream",860,31,17,1,100,220,138,0,130,8,253,0.19,2,0.11
"484","French Vanilla Swirl Frozen Coffee with Cream - Small","Small","Cream",610,22,12,0.5,70,150,97,0,91,6,181,0.14,1,0.06
"485","French Vanilla Swirl Frozen Coffee with Skim Milk - Large","Large","Nonfat",830,5,3.5,0,25,230,184,0,173,11,386,0.3,2,0.11
"486","French Vanilla Swirl Frozen Coffee with Skim Milk - Medium","Medium","Nonfat",640,4.5,3,0,20,180,141,0,133,9,297,0.23,2,0.11
"487","French Vanilla Swirl Frozen Coffee with Skim Milk - Small","Small","Nonfat",460,4.5,3,0,20,125,99,0,93,6,210,0.16,1,0.06
"488","French Vanilla Swirl Frozen Coffee with Whole Milk - Large","Large","Whole",880,11,7,0,40,230,183,0,173,11,369,0.28,2,0.11
"489","French Vanilla Swirl Frozen Coffee with Whole Milk - Medium","Medium","Whole",680,9,6,0,35,180,141,0,132,8,284,0.22,2,0.11
"490","French Vanilla Swirl Frozen Coffee with Whole Milk - Small","Small","Whole",490,8,4.5,0,30,125,99,0,92,6,202,0.16,1,0.06
"491","Frozen Coffee with Cream - Large","Large","Cream",780,35,18,1,105,200,113,0,108,7,204,0.16,2,0.11
"492","Frozen Coffee with Cream -Medium","Medium","Cream",590,26,14,1,80,150,85,0,81,5,153,0.12,2,0.11
"493","Frozen Coffee with Cream - Small","Small","Cream",390,17,9,0.5,55,100,57,0,54,3,102,0.08,1,0.06
"494","Frozen Coffee with Skim Milk -Large","Large","Nonfat",500,0,0,0,5,150,117,0,112,8,263,0.2,2,0.11
"495","Frozen Coffee with Skim Milk -Medium","Medium","Nonfat",370,0,0,0,5,115,88,0,84,6,198,0.15,2,0.11
"496","Frozen Coffee with Skim Milk -Small","Small","Nonfat",250,0,0,0,0,75,59,0,56,4,132,0.1,1,0.06
"497","Frozen Coffee with Whole Milk -Large","Large","Whole",550,6,3.5,0,20,150,117,0,111,7,246,0.19,2,0.11
"498","Frozen Coffee with Whole Milk -Medium","Medium","Whole",410,4.5,2.5,0,15,115,88,0,84,5,185,0.14,2,0.11
"499","Frozen Coffee with Whole Milk -Small","Small","Whole",270,3,1.5,0,10,75,58,0,56,4,123,0.09,1,0.06
"500","Hazelnut Swirl Frozen Coffee with Cream - Large","Large","Cream",1110,40,22,1.5,130,280,180,0,169,10,326,0.25,2,0.11
"501","Hazelnut Swirl Frozen Coffee with Cream - Medium","Medium","Cream",860,31,17,1,100,220,138,0,130,8,253,0.19,2,0.11
"502","Hazelnut Swirl Frozen Coffee with Cream - Small","Small","Cream",610,22,12,0.5,70,150,97,0,91,6,181,0.14,1,0.06
"503","Hazelnut Swirl Frozen Coffee with Skim Milk - Large","Large","Nonfat",830,5,3.5,0,25,230,184,0,173,11,386,0.3,2,0.11
"504","Hazelnut Swirl Frozen Coffee with Skim Milk - Medium","Medium","Nonfat",640,4.5,3,0,20,180,141,0,133,9,297,0.23,2,0.11
"505","Hazelnut Swirl Frozen Coffee with Skim Milk - Small","Small","Nonfat",470,4.5,3,0,20,125,99,0,93,6,210,0.16,1,0.06
"506","Hazelnut Swirl Frozen Coffee with Whole Milk - Large","Large","Whole",880,11,7,0,40,230,184,0,173,11,369,0.28,2,0.11
"507","Hazelnut Swirl Frozen Coffee with Whole Milk - Medium","Medium","Whole",680,9,6,0,35,180,141,0,132,8,284,0.22,2,0.11
"508","Hazelnut Swirl Frozen Coffee with Whole Milk - Small","Small","Whole",490,8,4.5,0,30,125,99,0,92,6,202,0.16,1,0.06
"509","Mocha Swirl Frozen Coffee with Cream - Large","Large","Cream",1100,41,22,1.5,125,240,179,3,165,9,235,0.18,4,0.22
"510","Mocha Swirl Frozen Coffee with Cream - Medium","Medium","Cream",850,31,17,1,95,190,137,2,126,7,180,0.14,3,0.17
"511","Mocha Swirl Frozen Coffee with Cream - Small","Small","Cream",600,22,13,0.5,70,125,97,2,88,5,126,0.1,2,0.11
"512","Mocha Swirl Frozen Coffee with Skim Milk - Large","Large","Nonfat",820,6,4,0,20,190,183,3,169,10,294,0.23,4,0.22
"513","Mocha Swirl Frozen Coffee with Skim Milk - Medium","Medium","Nonfat",630,5,3.5,0,20,150,140,2,129,8,224,0.17,3,0.17
"514","Mocha Swirl Frozen Coffee with Skim Milk - Small","Small","Nonfat",460,5,3.5,0,15,100,99,2,90,5,155,0.12,2,0.11
"515","Mocha Swirl Frozen Coffee with Whole Milk - Large","Large","Whole",870,12,7,0,35,190,183,3,169,9,277,0.21,4,0.22
"516","Mocha Swirl Frozen Coffee with Whole Milk - Medium","Medium","Whole",670,10,6,0,30,150,140,2,129,7,211,0.16,3,0.17
"517","Mocha Swirl Frozen Coffee with Whole Milk - Small","Small","Whole",480,8,5,0,25,100,98,2,90,5,147,0.11,2,0.11
"518","Caramel Swirl Frozen Chocolate -Large","Large",NA,900,17,12,0,40,380,176,1,165,11,392,0.3,0,0
"519","Caramel Swirl Frozen Chocolate -Medium","Medium",NA,700,14,10,0,35,290,135,1,126,9,302,0.23,0,0
"520","Caramel Swirl Frozen Chocolate -Small","Small",NA,500,11,8,0,30,200,95,1,88,6,213,0.16,0,0
"521","French Vanilla Swirl Frozen Chocolate - Large","Large",NA,900,17,12,0,40,370,175,1,162,11,372,0.29,0,0
"522","French Vanilla Swirl Frozen Chocolate - Medium","Medium",NA,700,14,10,0,35,280,135,1,124,9,287,0.22,0,0
"523","French Vanilla Swirl Frozen Chocolate - Small","Small",NA,500,11,8,0,30,190,95,1,87,6,204,0.16,0,0
"524","Frozen Chocolate - Large","Large",NA,890,18,13,0,35,330,175,4,158,10,281,0.22,2,0.11
"525","Frozen Chocolate - Medium","Medium",NA,690,15,10,0,30,250,134,3,121,7,214,0.16,2,0.11
"526","Frozen Chocolate - Small","Small",NA,490,11,8,0,25,170,94,2,84,5,149,0.11,1,0.06
"527","Hazelnut Swirl Frozen Chocolate -Large","Large",NA,900,17,12,0,40,370,176,1,162,11,372,0.29,0,0
"528","Hazelnut Swirl Frozen Chocolate -Medium","Medium",NA,700,14,10,0,35,280,135,1,124,9,287,0.22,0,0
"529","Hazelnut Swirl Frozen Chocolate -Small","Small",NA,500,11,8,0,30,190,95,1,87,6,204,0.16,0,0
"530","Blue Raspberry Dunkin' Energy Punch Powered by Monster Energy®","Large",NA,420,0,0,0,0,460,102,0,96,0,12,0.01,0,0
"531","Strawberry Dunkin' Energy Punch Powered by Monster Energy®","Large",NA,430,0,0,0,0,420,106,1,96,0,19,0.01,0,0
"532","Blue Raspberry Coolatta® - Large","Large",NA,460,0,0,0,0,60,112,0,110,0,24,0.02,0,0
"533","Blue Raspberry Coolatta® -Medium","Medium",NA,350,0,0,0,0,45,84,0,83,0,18,0.01,0,0
"534","Blue Raspberry Coolatta® - Small","Small",NA,230,0,0,0,0,30,56,0,55,0,10,0.01,0,0
"535","Strawberry Coolatta® - Large","Large",NA,470,0,0,0,0,25,115,1,110,0,32,0.02,0,0
"536","Strawberry Coolatta® - Medium","Medium",NA,350,0,0,0,0,15,86,1,83,0,24,0.02,0,0
"537","Strawberry Coolatta® - Small","Small",NA,240,0,0,0,0,10,57,1,55,0,16,0.01,0,0
"538","Vanilla Bean Coolatta® - Large","Large",NA,790,6,3.5,0,20,320,172,0,167,10,379,0.29,0,0
"539","Vanilla Bean Coolatta® - Medium","Medium",NA,590,4.5,2.5,0,15,240,129,0,125,7,284,0.22,0,0
"540","Vanilla Bean Coolatta® - Small","Small",NA,390,3,1.5,0,10,160,86,0,83,5,190,0.15,0,0
"541","Cold Brew Coffee - Large","Large",NA,5,0,0,0,0,20,0,0,0,1,21,0.02,0,0
"542","Cold Brew Coffee - Medium","Medium",NA,5,0,0,0,0,15,0,0,0,0,15,0.01,0,0
"543","Cold Brew Coffee - Small","Small",NA,5,0,0,0,0,10,0,0,0,0,11,0.01,0,0
"544","Cold Brew Coffee with Cream -Large","Large","Cream",120,12,6,0,35,65,2,0,2,2,75,0.06,0,0
"545","Cold Brew Coffee with Cream -Medium","Medium","Cream",90,9,4.5,0,25,45,1,0,1,2,55,0.04,0,0
"546","Cold Brew Coffee with Cream -Small","Small","Cream",60,6,3,0,20,30,1,0,1,1,37,0.03,0,0
"547","Cold Brew Coffee with Cream and Sugar - Large","Large","Cream",260,12,6,0,35,65,37,0,36,2,75,0.06,0,0
"548","Cold Brew Coffee with Cream and Sugar - Medium","Medium","Cream",190,9,4.5,0,25,45,27,0,27,2,55,0.04,0,0
"549","Cold Brew Coffee with Cream and Sugar - Small","Small","Cream",130,6,3,0,20,30,18,0,18,1,38,0.03,0,0
"550","Nitro Cold Brew Coffee - Small","Small",NA,5,0,0,0,0,5,0,0,0,0,6,0,0,0
